Inq	Pessoas	P_menos10anos	P_10a14anos	P_15a18anos	P_mais18anos	Alunos - viajam acompanhados ou sozinhos	Alunos - modo de transporte	Automoveis	Motas	Desp_auto	Est_privado	Lug_Dispõe	Lug_Utiliza	Alug_estac	CartaCond	Inq_idade	Inq_sexo	Pess_Emprego	Pess_carta	Inq_Instrucao	Inq_profissão	Trab_conta	Princ_cont	PrincCont_Idade	PrincCont_Sexo	PrincCont_NivInst	PrincCont_Profissão	PrincCont_Conta PO	Rendimento	STATUS SOCIAL	Coord_X	Coord_Y	GrauGeoreferenciacao	Tipo	Zona	Concelho	Tipo_Inq	Coef_Exp	SumViagens	Polo Universitário	Ramal da Lousã	Auxiliar	Inquéritos Válidos FINAIS
32	3	0	0	0	3	0	0	98	98	98	1			1	3	82	2	98	98	7	10	0	1				10		1	D	194 926	370 031	4	R	113	Penacova	2	31.8	1			4 | 2	1
33	1	0	0	0	1	0	0	1	98	1	1			1	2	74	2	98	1	6	10	0	1				10		99	D	175 493	347 677	4	R	114	Condeixa-a-Nova	2	67.0	0			4 | 2	1
34	2	0	0	0	2	0	0	1	1	98	2	1	1	0	2	64	1	98	1	7	10	0	1				10		2	D	197 161	369 835	4	R	113	Penacova	2	28.6	0			3 | 1	1
35	1	0	0	0	1	0	0	98	98	98	1			1	3	77	2	98	98	6	15		1				15		1	D	196 650	351 411	4	R	30	Lousã	2	25.2	0			4 | 2	1
36	4	0	0	0	4	0	0	98	2	98	2	1	1	0	2	38	1	1	2	6	14	2	1				14		2	E	167 898	388 308	2	R	108	Anadia	2	57.5	2			2 | 1	1
37	6	1	0	0	5	0	0	4	98	98	2	2	2	0	3	31	2	2	4	4	13		2	32	1	4	11	2	2	D	191 195	350 225	2	U	33	Lousã	2	29.9	0			2 | 2	1
38	4	0	0	0	4	0	0	2	98	98	2	4	2	0	2	47	2	3	4	4	9	2	2	53	1	4	11	2	99	D	163 600	351 091	4	R	42	Condeixa-a-Nova	2	25.3	3			3 | 2	1
40	3	1	0	0	2	0	0	2	98	98	2	4	2	0	2	31	2	1	2	1	13	2	2	33	1	3	14	2	99	D	196 650	351 411	4	R	30	Lousã	2	29.8	2			2 | 2	1
41	3	0	1	0	2	2	3	2	98	1	2	6	2	0	2	37	1	2	2	3	4	1	1				4		5	A	190 096	353 740	2	R	29	Lousã	2	33.9	2			2 | 1	1
42	3	0	0	0	3	0	0	98	98	98	1			1	3	74	2	98	98	7	10	0	1				10		99	D	192 523	372 757	4	R	113	Penacova	2	31.8	2			4 | 2	1
43	4	0	0	0	4	0	0	2	98	98	2	2	2	0	3	58	2	4	3	6	10	0	2	59	1	6	14	2	2	E	164 380	349 997	4	R	42	Condeixa-a-Nova	2	25.3	2			3 | 2	1
44	2	0	0	0	2	0	0	2	1	98	2	3	2	0	2	36	1	2	2	4	11	2	1				11		5	D	190 127	353 675	2	U	29	Lousã	2	33.9	3			2 | 1	1
45	1	0	0	0	1	0	0	98	98	98	1			1	3	85	1	98	98	7	10		1				10		1	D	195 421	352 583	4	R	30	Lousã	2	43.3	0			4 | 1	1
46	5	1	0	1	3	0	0	2	1	98	2	2	2	0	2	21	1	3	2	4	14	2	2	42	1	99	14	2	1	99	165 320	356 061	4	R	39	Condeixa-a-Nova	2	43.5	3			1 | 1	1
