Inq	Viagem	P1-Iniciou a viagem em casa	Origem_X	Origem_Y	Origem_Georef	Origem_Tipo	Origem_Zona	Origem_Conc	P3-Motivo da viagem	P4-Viagem terminou em casa	Destino_X	Destino_Y	Destino_Georef	Destino_Tipo	Destino_Zona	Destino_Conc	Hora de Inicio	Hora de Fim	Duração	P6-Mudou alguma vez de modo de transporte	P6_Vezes que mudou de modo de transporte	P9-Modo de transporte utilizado para chegar ao destino	Modo de transporte agregado	P10-Local de estacionamento	P11_a-Preço pago pelo estacionamento (base diária)	P11_b-Preço pago pelo estacionamento (base mensal)	P12-Automóvel disponível	P13_a-Primeira Razão da escolha do modo a pé / TC	P13_b-segunda Razão da escolha do modo a pé / TC	P.14-Título de transporte	P.14a-Tipo de passe	Classifica Companhia	P15_a-Fez a viagem sempre acompanhado	P15_b-Fez algum desvio ao seu percurso por ir acompanhado	P15_c_Frequencia_Viagem	Tipo de inquérito	Zona_Residencia	Coeficientes Expansão Total	Hora de Inicio	Hora de Fim	Duração	Distancia	Viagens	Velocidades
17	1	1	199970.7	370725.4	1	R	113	Penacova	2	2	197591.03	370713.5	3	R	113	Penacova	08:15	8:30	00:15	1	0	17	TC				1	13	99	3	3	3	1	2	1	2	113	70.8	495	510	15	2	2	9.52
17	2	2	197591.03	370713.5	3	R	113	Penacova	3	1	199970.7	370725.4	1	R	113	Penacova	18:30	18:45	00:15	1	0	17	TC				1	13	99	3	3	3	1	1	1	2	113	70.8	1 110	1 125	15	2	2	9.52
19	1	1	193632.47	354233.85	5	R	30	Lousã	1	2	190541.57	349286.17	3	U	32	Lousã	08:00	08:45	0:45	1	0	7	TC				1	99	99	1		1			2	2	30	39	480	525	45	6	2	7.78
19	2	2	190541.57	349286.17	3	U	32	Lousã	3	1	193632.47	354233.85	5	R	30	Lousã	12:00	12:15	0:15	1	0	7	TC				1	99	99	1		1			3	2	30	39	720	735	15	6	2	23.34
21	1	1	188693.48	357086.2	4	R	29	Lousã	10	2	188693.48	357086.2	4	R	29	Lousã	14:00	14:15	0:15	1	0	1	Pé				2					1			3	2	29	43.2	840	855	15	0	2	0
21	2	2	188693.48	357086.2	4	R	29	Lousã	3	1	188693.48	357086.2	4	R	29	Lousã	16:00	16:15	0:15	1	0	1	Pé				2					1			3	2	29	43.2	960	975	15	0	2	0
22	1	1	223173.93	376820.21	2	R	203	Oliveira do Hospital	9	2	172247.42	358647.27	3	U	326	Coimbra	10:00	11:15	1:15	1	0	3	TI	3								4	1	2	3	2	203	127.8	600	675	75	54	2	43.26
22	2	2	172247.42	358647.27	3	U	326	Coimbra	3	1	223173.93	376820.21	2	R	203	Oliveira do Hospital	15:30	16:45	1:15	1	0	3	TI	1								4	1	2	3	2	203	127.8	930	1 005	75	54	2	43.26
25	1	1	183111.5	353923.4	1	R	34	Miranda do Corvo	11	2	176463.1	361043.1	3	U	312	Coimbra	15:00	15:35	00:35	1	0	3	TI	1								4	1	2	3	2	34	36.1	900	935	35	10	2	16.7
25	2	2	176463.1	361043.1	3	U	312	Coimbra	3	1	183111.5	353923.4	1	R	34	Miranda do Corvo	18:00	18:35	00:35	1	0	3	TI	5								4	1	2	3	2	34	36.1	1 080	1 115	35	10	2	16.7
26	1	1	195067.17	354027.09	4	R	30	Lousã	9	2	174613.22	359993.49	3	U	303	Coimbra	09:10	10:20	1:10	2	1	1	TC				2					4	1	2	2	2	30	18.9	550	620	70	21	2	18.26
26	2	2	174613.22	359993.49	3	U	303	Coimbra	3	1	195067.17	354027.09	4	R	30	Lousã	16:00	18:30	2:30	2	1	7	TC				2			1		4	99	2	3	2	30	18.9	960	1 110	150	21	2	8.52
27	1	1	192488.51	372907.53	2	R	113	Penacova	9	2	176223.45	361388.84	3	U	312	Coimbra	07:15	7:55	00:40	1	0	4	TI	5								4	1	2	3	2	113	28.5	435	475	40	20	2	29.9
27	2	2	176223.45	361388.84	3	U	312	Coimbra	3	1	192488.51	372907.53	2	R	113	Penacova	11:50	12:30	00:40	1	0	4	TI	5								4	1	2	3	2	113	28.5	710	750	40	20	2	29.9
28	1	1	171424.94	391147.7	4	R	10	Anadia	9	2	172710.5	379083.83	3	U	18	Mealhada	9:30	9:45	00:15	1	0	3	TI	1								1			3	2	10	54.7	570	585	15	12	2	48.53
28	2	2	172710.5	379083.83	3	U	18	Mealhada	3	1	171424.94	391147.7	4	R	10	Anadia	10:30	10:45	00:15	1	0	3	TI	1								1			3	2	10	54.7	630	645	15	12	2	48.53
29	1	1	188285.17	353567.95	4	R	29	Lousã	1	2	169584.83	363490.63	4	R	349	Coimbra	12:00	13:00	1:00	1	0	3	TI	5								4	1	2	2	2	29	45	720	780	60	21	2	21.17
29	2	2	169584.83	363490.63	4	R	349	Coimbra	3	1	188285.17	353567.95	4	R	29	Lousã	18:00	19:00	1:00	1	0	3	TI	1								4	1	99	3	2	29	45	1 080	1 140	60	21	2	21.17
30	1	1	190318.6	349544.44	4	R	32	Lousã	4	2	190702.35	349596.23	3	U	32	Lousã	17:00	17:15	0:15	1	0	1	Pé				1	8	9			1			2	2	32	36.5	1 020	1 035	15	0	2	1.55
30	2	2	190702.35	349596.23	3	U	32	Lousã	3	1	190318.6	349544.44	4	R	32	Lousã	19:15	19:30	0:15	1	0	1	Pé				1	8	8			1			3	2	32	36.5	1 155	1 170	15	0	2	1.55
31	1	1	224358.87	378810.22	4	R	203	Oliveira do Hospital	10	2	222998.05	376736.2	3	U	203	Oliveira do Hospital	9:00	9:30	0:30	1	0	6	Táxi				2					4	1	2	2	2	203	54	540	570	30	2	2	4.96
31	2	2	222998.05	376736.2	3	U	203	Oliveira do Hospital	3	1	224358.87	378810.22	4	R	203	Oliveira do Hospital	11:30	12:00	0:30	1	0	4	TI	99								4	1	2	3	2	203	54	690	720	30	2	2	4.96
32	1	1	194926.11	370030.55	4	R	113	Penacova	15	1	194926.11	370030.55	4	R	113	Penacova	17:00	17:15	00:15	1	0	1	Pé				2					1			1	2	113	30.3	1 020	1 035	15	0	1	0
36	1	1	167898.35	388307.54	2	R	108	Anadia	1	2	165661.65	397283.04	5	U	228	Oliveira do Bairro	21:00	21:30	00:30	1	0	2	TI	5								1			1	2	108	57.5	1 260	1 290	30	9	2	18.5
36	2	2	165661.65	397283.04	5	U	228	Oliveira do Bairro	3	1	167898.35	388307.54	2	R	108	Anadia	06:30	7:00	0:30	1	0	2	TI	1								1			1	2	108	57.5	390	420	30	9	2	18.5
38	1	1	163600.01	351091.3	4	R	42	Condeixa-a-Nova	1	2	176223.45	361388.84	3	U	312	Coimbra	07:30	8:00	00:30	1	0	3	TI	5								4	2	1	1	2	42	25.3	450	480	30	16	3	32.58
38	2	2	176223.45	361388.84	3	U	312	Coimbra	7	2	172867.83	360616.04	3	U	328	Coimbra	17:30	17:40	00:10	1	0	3	TI	5								1			1	2	42	25.3	1 050	1 060	10	3	3	20.66
38	3	2	172867.83	360616.04	3	U	328	Coimbra	3	1	163600.01	351091.3	4	R	42	Condeixa-a-Nova	17:45	18:15	00:30	1	0	3	TI	5								4	1	2	1	2	42	25.3	1 065	1 095	30	13	3	26.58
40	1	1	196649.64	351411.31	4	R	30	Lousã	4	2	190121.5	350119.85	3	U	32	Lousã	17:00	17:06	0:06	1	0	3	TI	5								3	1	2	3	2	30	29.8	1 020	1 026	6	7	2	66.55
40	2	2	190121.5	350119.85	3	U	32	Lousã	3	1	196649.64	351411.31	4	R	30	Lousã	17:50	18:05	0:15	1	0	3	TI	5								3	1	2	3	2	30	29.8	1 070	1 085	15	7	2	26.62
41	1	1	190096	353739.8	2	R	29	Lousã	1	2	190172.79	349687.7	3	R	32	Lousã	08:00	08:15	0:15	1	0	3	TI	1								1			1	2	29	33.9	480	495	15	4	2	16.21
41	2	2	190172.79	349687.7	3	R	32	Lousã	3	1	190096	353739.8	2	R	29	Lousã	20:00	20:15	0:15	1	0	3	TI	5								1			1	2	29	33.9	1 200	1 215	15	4	2	16.21
42	1	1	192522.67	372756.72	4	R	113	Penacova	10	2	197546.14	372701.15	2	R	113	Penacova	10:00	10:10	00:10	1	0	1	Pé				2					1			1	2	113	30.3	600	610	10	5	2	30.14
42	2	2	197546.14	372701.15	2	R	113	Penacova	3	1	192522.67	372756.72	4	R	113	Penacova	13:00	13:10	00:10	1	0	1	Pé				1	7	99			1			1	2	113	30.3	780	790	10	5	2	30.14
43	1	1	164379.92	349996.56	4	R	42	Condeixa-a-Nova	9	2	172247.42	358647.27	3	U	326	Coimbra	10:00	10:30	0:30	1	0	21	Outros	99			1	2	99			4	1	2	4	2	42	25.3	600	630	30	12	2	23.39
