Inq	Viagem	P1-Iniciou a viagem em casa	Origem_X	Origem_Y	Origem_Georef	Origem_Tipo	Origem_Zona	Origem_Conc	P3-Motivo da viagem	P4-Viagem terminou em casa	Destino_X	Destino_Y	Destino_Georef	Destino_Tipo	Destino_Zona	Destino_Conc	Hora de Inicio	Hora de Fim	Duração	P6-Mudou alguma vez de modo de transporte	P6_Vezes que mudou de modo de transporte	P9-Modo de transporte utilizado para chegar ao destino	Modo de transporte agregado	P10-Local de estacionamento	P11_a-Preço pago pelo estacionamento (base diária)	P11_b-Preço pago pelo estacionamento (base mensal)	P12-Automóvel disponível	P13_a-Primeira Razão da escolha do modo a pé / TC	P13_b-segunda Razão da escolha do modo a pé / TC	P.14-Título de transporte	P.14a-Tipo de passe	Classifica Companhia	P15_a-Fez a viagem sempre acompanhado	P15_b-Fez algum desvio ao seu percurso por ir acompanhado	P15_c_Frequencia_Viagem	Tipo de inquérito	Zona_Residencia	Coef_Exp	Hora de Inicio	Hora de Fim	Duração	Distancia	Viagens	Velocidades
2800	1	1	178579.2834	355539.1295	2	R	343	Coimbra	1	2	173547.9	364908.14	3	U	334	Coimbra	23:00	23:20	0:20	1	0	4	TI	98								4		2	1	4	343	12.88	1 380	1 400	20	11	2	31.9
2800	2	2	173547.9	364908.14	3	U	334	Coimbra	3	1	178579.2834	355539.1295	2	R	343	Coimbra	8:00	8:20	0:20	1	0	4	TI	5								4		2	1	4	343	12.88	480	500	20	11	2	31.9
2803	1	1	178353.6001	355335.2805	2	R	343	Coimbra	2	2	176402.57	359655.68	3	U	315	Coimbra	8:00	8:20	0:20	1	0	7	TC				2			3	3	1			1	4	343	12.88	480	500	20	5	3	14.22
2803	3	2	176632.63	359651.91	3	U	315	Coimbra	3	1	178353.6001	355335.2805	2	R	343	Coimbra	21:30	22:00	0:30	1	0	4	TI		0	0						4		2	1	4	343	12.88	1 290	1 320	30	5	3	9.29
2893	1	1	179285.1	355456.5	6	U	343	Coimbra	2	2	175131.88	359962.95	3	U	301	Coimbra	12:30	13:30	1:00	2	1	12	TC				2			1		1			1	4	343	12.88	750	810	60	6	2	6.13
2893	2	2	175131.88	359962.95	3	U	301	Coimbra	3	1	179285.1	355456.5	6	U	343	Coimbra	16:00	16:30	0:30	1	0	4	TI	1								4		2	1	4	343	12.88	960	990	30	6	2	12.26
2898	2	2	176435.05	361195.78	3	U	312	Coimbra	4	2	173561.55	360431.34	3	U	307	Coimbra	18:00	18:10	0:10	1	0	6	Táxi				2					1			2	4	32	6.23	1 080	1 090	10	3	3	17.84
2962	1	1	177479.3863	358945.6915	1	U	340	Coimbra	1	2	176445.48	358328.58	3	U	320	Coimbra	8:50	9:00	0:10	1	0	3	TI	5								1			1	1	340	19.1	530	540	10	1	2	7.22
2962	2	2	176445.48	358328.58	3	U	320	Coimbra	3	1	177479.3863	358945.6915	1	U	340	Coimbra	18:00	18:15	0:15	1	0	3	TI	5								1			1	1	340	19.1	1 080	1 095	15	1	2	4.82
2964	1	1	175940.9	360687	1	U	311	Coimbra	7	2	174373.83	358847.86	5	U	306	Coimbra	14:00	14:20	0:20	1	0	3	TI	3								1			1	1	311	22.4	840	860	20	2	2	7.25
2964	2	2	174373.83	358847.86	5	U	306	Coimbra	3	1	175940.9	360687	1	U	311	Coimbra	16:45	17:15	0:30	1	0	3	TI	3								1			1	1	311	22.4	1 005	1 035	30	2	2	4.83
2966	1	1	176812.6746	359377.4066	1	U	315	Coimbra	1	2	176538.11	358390.54	3	U	320	Coimbra	8:30	8:40	0:10	1	0	3	TI	5								1			2	1	315	30.7	510	520	10	1	3	6.15
2966	2	2	176538.11	358390.54	3	U	320	Coimbra	5	2	176625.55	359606.84	3	U	315	Coimbra	18:30	18:45	0:15	1	0	3	TI	5								1			2	1	315	30.7	1 110	1 125	15	1	3	4.88
2970	1	1	174101.9765	370007.5627	2	R	355	Coimbra	10	2	176625.55	359606.84	3	U	315	Coimbra	11:00	11:10	0:10	1	0	3	TI	5								1			2	1	355	25.8	660	670	10	11	2	64.21
2970	2	2	176625.55	359606.84	3	U	315	Coimbra	3	1	174101.9765	370007.5627	2	R	355	Coimbra	13:00	13:10	0:10	1	0	3	TI	5								1			2	1	355	25.8	780	790	10	11	2	64.21
2973	1	1	174451.6021	359056.2197	1	U	307	Coimbra	1	2	176211.98	358303.14	3	U	322	Coimbra	8:45	8:55	0:10	1	0	3	TI	5								1			1	1	307	25.4	525	535	10	2	4	11.49
2973	2	2	176211.98	358303.14	3	U	322	Coimbra	8	1	174451.6021	359056.2197	1	U	307	Coimbra	12:30	12:40	0:10	1	0	3	TI	1								1			1	1	307	25.4	750	760	10	2	4	11.49
2973	3	1	174451.6021	359056.2197	1	U	307	Coimbra	1	2	176211.98	358303.14	3	U	322	Coimbra	13:50	14:00	0:10	1	0	3	TI	5								1			1	1	307	25.4	830	840	10	2	4	11.49
2973	4	2	176211.98	358303.14	3	U	322	Coimbra	3	1	174451.6021	359056.2197	1	U	307	Coimbra	18:00	18:10	0:10	1	0	4	TI	1								4			1	1	307	25.4	1 080	1 090	10	2	4	11.49
2974	1	1	174451.6021	359056.2197	1	U	307	Coimbra	1	2	176211.98	358303.14	3	U	322	Coimbra	8:45	8:55	0:10	1	0	3	TI	5								1			1	1	307	25.4	525	535	10	2	4	11.49
2974	2	2	176211.98	358303.14	3	U	322	Coimbra	8	1	174451.6021	359056.2197	1	U	307	Coimbra	12:30	12:40	0:10	1	0	3	TI	1								1			1	1	307	25.4	750	760	10	2	4	11.49
2974	3	1	174451.6021	359056.2197	1	U	307	Coimbra	1	2	176211.98	358303.14	3	U	322	Coimbra	13:50	14:00	0:10	1	0	3	TI	5								1			1	1	307	25.4	830	840	10	2	4	11.49
2974	4	2	176211.98	358303.14	3	U	322	Coimbra	3	1	174451.6021	359056.2197	1	U	307	Coimbra	18:00	18:10	0:10	1	0	4	TI	1								4			1	1	307	25.4	1 080	1 090	10	2	4	11.49
2978	1	1	176146.0082	358914.1421	2	U	318	Coimbra	1	2	176538.11	358390.54	3	U	320	Coimbra	10:00	10:05	0:05	1	0	3	TI	5								4		2	1	1	318	33.8	600	605	5	1	3	7.85
2978	3	2	176522.2	358440.9	3	U	320	Coimbra	3	1	176146.0082	358914.1421	2	U	318	Coimbra	20:00	20:09	0:09	1	0	3	TI	1								1			1	1	318	33.8	1 200	1 209	9	1	3	4.03
3052	1	1	175857.7162	358788.3884	1	U	316	Coimbra	1	2	175264.39	360369.64	3	U	302	Coimbra	11:00	11:10	0:10	1	0	4	TI	98								4		2	1	1	316	21.6	660	670	10	2	2	10.13
3052	2	2	175264.39	360369.64	3	U	302	Coimbra	3	1	175857.7162	358788.3884	1	U	316	Coimbra	20:00	20:10	0:10	1	0	4	TI	1								4		2	1	1	316	21.6	1 200	1 210	10	2	2	10.13
3054	1	1	171098.3314	365413.6737	2	R	349	Coimbra	12	2	174620.78	360200.09	3	U	303	Coimbra	9:00	9:30	0:30	1	0	3	TI	3								4		2	3	1	349	56.9	540	570	30	6	2	12.58
3054	2	2	174620.78	360200.09	3	U	303	Coimbra	3	1	171098.3314	365413.6737	2	R	349	Coimbra	12:00	12:30	0:30	1	0	3	TI	5								4		2	3	1	349	56.9	720	750	30	6	2	12.58
3056	1	1	174264.3155	361471.6836	5	U	331	Coimbra	1	2	176104.65	358693.33	3	U	316	Coimbra	11:15	11:25	0:10	1	0	3	TI	1								1			1	1	331	28.5	675	685	10	3	2	20
