9004	U	228	Águeda	8:30	9:05	0:35	1	0	3	TI	3	0	0						1			1	2	21	37.8	510	545	35	27	2	45.88
1158	1	1	178964.7	323367.07	4	R	135	Ansião	1	2	178669.14	317630.69	6	U	232	Alvaiázere	7:20	7:45	0:25	1	0	3	TI	1								4	1	2	1	2	135	69.1	440	465	25	6	2	13.79
2350	1	1	183813.07	318084.58	4	R	209	Figueiró dos Vinhos	12	2	178768.68	317512.09	3	U	232	Alvaiázere	9:00	9:30	0:30	1	0	3	TI	1								4		2	3	2	209	52.3	540	570	30	5	2	10.15
7116	1	1	177575.58	322175.65	4	R	135	Ansião	2	2	178717.03	317648.44	3	U	232	Alvaiázere	8:50	9:00	0:10	1	0	4	TI	1	0	0						4		2	1	2	135	67.4	530	540	10	5	2	28.01
6	2	2	161622.11	375064.86	3	U	6	Cantanhede	3	1	167914.56	386411.05	4	R	108	Anadia	8:25	8:45	0:20	1	0	3	TI	5								1			1	2	108	39.9	505	525	20	13	6	38.92
28	2	2	172710.5	379083.83	3	U	18	Mealhada	3	1	171424.94	391147.7	4	R	10	Anadia	10:30	10:45	0:15	1	0	3	TI	1								1			3	2	10	50.5	630	645	15	12	2	48.53
59	4	2	166896.82	399988.67	3	U	228	Águeda	3	1	171424.94	391147.7	4	R	10	Anadia	18:30	18:45	0:15	1	0	4	TI	5								4	1	2	3	2	10	49.8	1 110	1 125	15	10	4	39.73
98	3	2	174966.24	394563.9	3	U	228	Águeda	3	1	171191.1	392544.2	1	R	10	Anadia	14:00	14:20	0:20	1	0	3	TI	5								1			2	2	10	50.5	840	860	20	4	3	12.84
62	1	1	167914.56	386411.05	4	R	108	Anadia	1	2	171535.31	389168.91	2	R	10	Anadia	9:00	9:30	0:30	1	0	19	Bicicleta				2					1			2	2	108	44.5	540	570	30	5	4	9.1
62	2	2	171535.31	389168.91	2	R	10	Anadia	3	1	167914.56	386411.05	4	R	108	Anadia	12:00	12:30	0:30	1	0	19	Bicicleta				2					1			3	2	108	44.5	720	750	30	5	4	9.1
62	3	1	167914.56	386411.05	4	R	108	Anadia	1	2	171535.31	389168.91	2	R	10	Anadia	14:00	14:30	0:30	1	0	19	Bicicleta				2					1			2	2	108	44.5	840	870	30	5	4	9.1
62	4	2	171535.31	389168.91	2	R	10	Anadia	3	1	167914.56	386411.05	4	R	108	Anadia	19:00	19:30	0:30	1	0	19	Bicicleta				2					1			2	2	108	44.5	1 140	1 170	30	5	4	9.1
262	2	2	173278.51	400578.8	3	U	228	Águeda	3	1	181367.12	390364.42	4	R	109	Anadia	17:00	17:30	0:30	1	0	3	TI	5								1			1	2	109	54	1 020	1 050	30	13	2	26.06
280	2	2	174880.88	395021.99	6	U	228	Águeda	3	1	171339.37	391060.98	2	R	10	Anadia	18:00	19:00	1:00	1	0	3	TI	5								1			3	2	10	35.3	1 080	1 140	60	5	4	5.31
70	1	1	167245.42	383960.08	4	R	107	Anadia	1	2	166234.78	383915.4	2	R	107	Anadia	7:45	7:50	0:05	1	0	3	TI	5								1			1	2	107	51.6	465	470	5	1	2	12.14
70	2	2	166234.78	383915.4	2	R	107	Anadia	3	1	167245.42	383960.08	4	R	107	Anadia	17:05	17:10	0:05	1	0	3	TI	5								1			1	2	107	51.6	1 025	1 030	5	1	2	12.14
74	1	1	182963.33	389138.89	4	R	109	Anadia	1	2	174171.42	385760.09	4	U	12	Anadia	8:45	9:00	0:15	1	0	3	TI	5								1			1	2	109	51	525	540	15	9	2	37.68
74	2	2	174171.42	385760.09	4	U	12	Anadia	3	1	182963.33	389138.89	4	R	109	Anadia	18:00	18:15	0:15	1	0	3	TI	1								1			1	2	109	51	1 080	1 095	15	9	2	37.68
