"route_id","trip_id","service_id"
"38F","1910","Dias Úteis"
"5","254","Dias Úteis"
"7418","7418-1-002-E-U-08h05-Paleao","E-U"
"5","255","Dias Úteis"
"7418","7418-1-001-E-U-06h55-AlvorgeEscola","E-U"
"5","256","Dias Úteis"
"7431","7431-2-003-A-U-11h00-CoimbraPortagem","A-U"
"5","257","Dias Úteis"
"5","258","Dias Úteis"
"5","259","Dias Úteis"
"5203","5203-2-003-A-U-18h20-ArganilCamara","A-U"
"29","1918","Dias Úteis"
"29","1917","Dias Úteis"
"7485","7485-2-001-E-U-10h30-CoimbraRodoviar","E-U"
"7472","7472-2-009-E-U-17h05-SenhordaSerraEs","E-U"
"29","1916","Dias Úteis"
"29","1915","Dias Úteis"
"29","1914","Dias Úteis"
"38","1913","Dias Úteis"
"38F","1912","Dias Úteis"
"38","1911","Dias Úteis"
"5501","5501-2-019-A-U-18h10-MontemoroVelhoN","A-U"
"5","260","Dias Úteis"
"5","261","Dias Úteis"
"5","262","Dias Úteis"
"5","263","Dias Úteis"
"5","264","Dias Úteis"
"29","1921","Dias Úteis"
"29","1920","Dias Úteis"
"5","265","Dias Úteis"
"5","266","Dias Úteis"
"5501","5501-1-025-A-DF-11h55-FigueiradaFozTe","A-DF"
"5","267","Dias Úteis"
"5","268","Dias Úteis"
"7436","7436-2-008-FE-U-19h00-CoimbraRodoviar","FE-U"
"5","269","Dias Úteis"
"29","1929","Dias Úteis"
"29","1928","Dias Úteis"
"29","1927","Dias Úteis"
"29","1926","Dias Úteis"
"29","1925","Dias Úteis"
"29","1924","Dias Úteis"
"29","1923","Dias Úteis"
"29","1922","Dias Úteis"
"5011","5011-2-001-E-U-14h15-EXPOFACIC","E-U"
"5","270","Dias Úteis"
"5","271","Dias Úteis"
"5","272","Dias Úteis"
"5","273","Dias Úteis"
"5","274","Dias Úteis"
"29","1932","Dias Úteis"
"5T","275","Dias Úteis"
"5T","276","Dias Úteis"
"29","1931","Dias Úteis"
"29","1930","Dias Úteis"
"5T","277","Dias Úteis"
"5T","278","Dias Úteis"
"5T","279","Dias Úteis"
"7433","7433-2-004-FE-U-17h55-RebordosaOficin","FE-U"
"29","1939","Dias Úteis"
"5133","5133-1-001-E-U-07h50-Barracao","E-U"
"29","1938","Dias Úteis"
"29","1937","Dias Úteis"
"29","1936","Dias Úteis"
"29","1935","Dias Úteis"
"5149","5149-1-004-E-U-18h25-MiraEscolas","E-U"
"29","1934","Dias Úteis"
"29","1933","Dias Úteis"
"7418","7418-2-003-E-U-17h05-SoureSecundaria","E-U"
"7243","7243-2-001-A-U-08h30-OliveiradoHospi","A-U"
"5T","280","Dias Úteis"
"50T","281","Dias Úteis"
"50T","282","Dias Úteis"
"35","283","Dias Úteis"
"35","284","Dias Úteis"
"5","285","Dias Úteis"
"5202","5202-2-008-FEQB-5-15h00-ArganilCamara","FEQB-5"
"29","1943","Dias Úteis"
"5","286","Dias Úteis"
"5","287","Dias Úteis"
"29","1942","Dias Úteis"
"29","1941","Dias Úteis"
"5","288","Dias Úteis"
"5","289","Dias Úteis"
"29","1940","Dias Úteis"
"36T","1949","Dias Úteis"
"36TA","1948","Dias Úteis"
"7473","7473-2-002-E-U-17h20-MirandadoCorvoE","E-U"
"29","1947","Dias Úteis"
"5011","5011-2-002-E-U-18h45-EXPOFACIC","E-U"
"29","1946","Dias Úteis"
"29","1945","Dias Úteis"
"29","1944","Dias Úteis"
"5","290","Dias Úteis"
"5","291","Dias Úteis"
"5","292","Dias Úteis"
"5","293","Dias Úteis"
"5","294","Dias Úteis"
"5","295","Dias Úteis"
"5","296","Dias Úteis"
"5","297","Dias Úteis"
"36T","1954","Dias Úteis"
"36","1953","Dias Úteis"
"5","298","Dias Úteis"
"5","299","Dias Úteis"
"36","1952","Dias Úteis"
"36","1951","Dias Úteis"
"36","1950","Dias Úteis"
"39","1959","Dias Úteis"
"36TB","1958","Dias Úteis"
"36T","1957","Dias Úteis"
"36T","1956","Dias Úteis"
"36T","1955","Dias Úteis"
"7491","7491-1-001-E-MPPS-07h30-Coelhal","E-MPPS"
"7242","7242-2-003-AS2-MOHP-13h45-OliveiradoHospi","AS2-MOHP"
"7527","7527-2-001-A-U-07h10-MortaguaCentroC","A-U"
"37","1965","Dias Úteis"
"5526","5526-2-001-E-U-13h45-AlhadasEB23","E-U"
"37","1964","Dias Úteis"
"5501","5501-2-001-FE-U-07h20-MontemoroVelhoN","FE-U"
"37","1963","Dias Úteis"
"7511","7511-2-003-FE-U-13h50-GavinhosX","FE-U"
"39","1962","Dias Úteis"
"5321","5321-2-001-A-MACOR-12h20-ValedeAcores","A-MACOR"
"39","1961","Dias Úteis"
"39","1960","Dias Úteis"
"37","1969","Dias Úteis"
"37","1968","Dias Úteis"
"37","1967","Dias Úteis"
"5503","5503-2-006-E-2356-17h50-AlhadasXEB23","E-2356"
"37","1966","Dias Úteis"
"7485","7485-2-002-A-U-13h45-CoimbraRodoviar","A-U"
"5325","5325-1-002-E-U-08h15-VilaGosendo","E-U"
"37","1976","Dias Úteis"
"37","1975","Dias Úteis"
"37","1974","Dias Úteis"
"37","1973","Dias Úteis"
"37","1972","Dias Úteis"
"37","1971","Dias Úteis"
"37","1970","Dias Úteis"
"7241","7241-1-006-E-U-17h40-OliveiradoHospi","E-U"
"37","1979","Dias Úteis"
"37","1978","Dias Úteis"
"37","1977","Dias Úteis"
"7488","7488-2-008-E-2356-18h50-LousaEBn2","E-2356"
"37","1990","Dias Úteis"
"37","1987","Dias Úteis"
"37","1986","Dias Úteis"
"37","1985","Dias Úteis"
"37","1984","Dias Úteis"
"37","1983","Dias Úteis"
"37","1982","Dias Úteis"
"37","1981","Dias Úteis"
"5322","5322-2-002-E-4-13h45-MortaguaEB23","E-4"
"37","1980","Dias Úteis"
"37","1989","Dias Úteis"
"37","1988","Dias Úteis"
"5202","5202-1-007-FE-5-16h45-Piodao","FE-5"
"7513","7513-1-005-E-3-13h15-Padroes","E-3"
"7465","7465-2-011-A-DF-17h30-CoimbraRodoviar","A-DF"
"5212","5212-1-001-FE-5-08h30-Coucos","FE-5"
"37","1998","Dias Úteis"
"37","1997","Dias Úteis"
"37","1996","Dias Úteis"
"37","1995","Dias Úteis"
"37","1994","Dias Úteis"
"37","1993","Dias Úteis"
"37","1992","Dias Úteis"
"37","1991","Dias Úteis"
"5213","5213-1-004-E-U-17h30-CojaEB23","E-U"
"37","1999","Dias Úteis"
"7456","7456-1-008-A-S-07h30-PenacovaCamaraM","A-S"
"5004","5004-1-002-FE-U-13h20-CantanhedeEstac","FE-U"
"7475","7475-2-006-A-U-18h50-LousaEBn2","A-U"
"37","3704","Sábados"
"5166","5166-1-009-A-U-18h45-CantanhedeEstac","A-U"
"37","3705","Sábados"
"5501","5501-2-016-A-U-16h30-CoimbraPortagem","A-U"
"37","3706","Sábados"
"5213","5213-1-001-E-U-06h55-CojaEB23","E-U"
"37","3707","Sábados"
"37","3708","Sábados"
"37","3709","Sábados"
"37","3700","Sábados"
"37","3701","Sábados"
"37","3702","Sábados"
"37","3703","Sábados"
"5502","5502-1-009-A-S-14h12-AndorinhaCapela","A-S"
"5202","5202-2-009-E-U-17h25-ArganilEB23","E-U"
"5510","5510-2-001-E-U-13h15-SaoSilvestreEB2","E-U"
"7427","7427-1-003-FE-4-08h30-Meas","FE-4"
"5001","5001-2-005-A-S-07h30-CoimbraRodoviar","A-S"
"37","3715","Sábados"
"37","3716","Sábados"
"37","3717","Sábados"
"37","3718","Sábados"
"37","3719","Sábados"
"7380","7380-2-001-E-U-13h40-SoureEB23","E-U"
"7472","7472-2-007-FE-U-16h20-CoimbraRodoviar","FE-U"
"37","3710","Sábados"
"37","3711","Sábados"
"37","3712","Sábados"
"37","3713","Sábados"
"37","3714","Sábados"
"7572","7572-2-001-A-3-11h15-GoisVila","A-3"
"7470","7470-2-004-E-U-17h15-VilaNovadePoiar","E-U"
"39","3726","Sábados"
"39","3727","Sábados"
"39","3728","Sábados"
"39","3729","Sábados"
"7438","7438-2-003-E-U-17h55-PenacovaEB23S","E-U"
"37","3720","Sábados"
"37","3721","Sábados"
