stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
11007,Fernando Namora 2,Fernando Namora 2,Fernando Namora- Av. - Paragem 2 - Dir. Vale das Flores,40.2007,-8.3992,,,0,
11008,Fernando Namora 2,Fernando Namora 2,Fernando Namora- Av. - Paragem 2 - Dir. Solum,40.2009,-8.3993,,,0,
11009,Bandeiras,Bandeiras,Brasil- R. - Bandeiras - Dir.Calhabe,40.1993,-8.4028,,,0,
11010,Chao do Bispo (Centro),Chao do Bispo (C),Chao do Bispo (Estrada dos Malheiros) - Terminus L. 26,40.2032,-8.3931,,,0,
11011,Chao do Bispo,Chao do Bispo ,Estrada dos Malheiros (Chao do Bispo) - Sent. Tovim,40.2052,-8.3918,,,0,
11012,Elisio de Moura,Elisio de Moura,Elisio de Moura- Av. - (Atrium Solum)-  Sent. Casa Branca,40.2062,-8.4009,,,0,
11013,Quinta da Lomba,Qt. da Lomba,Quinta da Lomba - Sent. Ch. do Bispo,40.2026,-8.3989,,,0,
11014,Ladeira de Chao do Bispo,Lad.Ch.Bispo,Ladeira de Chao do Bispo - Sent. Ch. do Bispo,40.204,-8.3969,,,0,
11015,Bandeiras,Bandeiras,Monsenhor Augusto Nunes Pereira-R. - Dir. Solum,40.2,-8.4032,,,0,
11016,Casa Branca,Casa Branca,Fernando Namora- Av. - Paragem 3 (Casa Branca) -Dir. Solum,40.1991,-8.3978,,,0,
11017,Casa Branca,Casa Branca,Fernando Namora- Av. - Paragem 3 (Casa Branca) -Dir. Vale das Flores,40.1989699,-8.3978677,,,0,
11018,Nogueiras,Nogueiras,E. N. 17 (Makro) - Dir. Calhabe,40.1961,-8.4027,,,0,
11019,Nogueiras,Nogueiras,E. N. 17 (Makro) - Dir. Alto de S. Joao,40.1957,-8.4027,,,0,
11020,Alto de Sao Joao (Rotunda),Alto S. Joao (Rot.),E. N. 17  - Rot. Alto S. Joao - Dir. Portela,40.1929,-8.4027,,,0,
11021,Alto de Sao Joao (Rotunda),Alto S. Joao (Rot.),E. N. 17  - Rot. Alto S. Joao - Dir. Calhabe,40.1932,-8.4026,,,0,
11022,Alto de Sao Joao (Rotunda),Alto S. Joao (Rot.),Alto de Sao Joao (Rotunda) - Dir. Vale das Flores,40.1936,-8.4018,,,0,
11023,Alto de Sao Joao (Rotunda),Alto S. Joao (Rot.),Alto de Sao Joao (Rotunda) - Dir. Quinta da Fonte,40.1936,-8.402,,,0,
11024,Quinta da Fonte,Qt. da Fonte,Fernando Namora- Av. - Paragem 4 (Quinta da Fonte) -Dir. Solum,40.1953,-8.3978,,,0,
11025,Quinta da Fonte,Qt. da Fonte,Fernando Namora- Av. - Paragem 4 (Quinta da Fonte) -Dir. Vale das Flores,40.1956,-8.3976,,,0,
11026,Quinta da Fonte (Rotunda),Qt. da Fonte (Rot.),Quinta da Fonte (Rotunda) - Dir. Solum,40.1938,-8.3981,,,0,
11027,Alto de Sao Joao ,Alto S. Joao ,E. N. 17 - Alto de S. Joao (Areeiro) - Dir. Calhabe ,40.1908,-8.4019,,,0,
11028,Alto de Sao Joao ,Alto S. Joao ,E. N. 17 - Alto de S. Joao (Areeiro) - Dir. Portela,40.1905,-8.4017,,,0,
11029,Urbanizacao Quinta da Romeira 1,Urb. Qt. Romeira 1,Urbanizacao Quinta da Romeira 1 - Sent. Asc.,40.1937,-8.3969,,,0,
11030,Urbanizacao Quinta da Romeira 2,Urb. Qt. Romeira 2,Urbanizacao Quinta da Romeira 2 - Sent. Asc.,40.1953,-8.3934,,,0,
11031,Urbanizacao Quinta da Romeira 3,Urb. Qt. Romeira 3,Urbanizacao Quinta da Romeira 3,40.1936,-8.3942,,,0,
11032,Urbanizacao Quinta da Romeira 4,Urb. Qt. Romeira 4,Urbanizacao Quinta da Romeira 4,40.1946,-8.3924,,,0,
11033,Urbanizacao Quinta da Romeira 2,Urb. Qt. Romeira 2,Urbanizacao Quinta da Romeira 2 - Sent. Desc.,40.1959,-8.3934,,,0,
11034,Urbanizacao Quinta da Romeira 1,Urb. Qt. Romeira 1,Urbanizacao Quinta da Romeira 1 - Sent. Desc.,40.1936,-8.397,,,0,
11035,Areeiro,Areeiro,Areeiro - Capela -Sent. Quinta da Fonte,40.191,-8.3971,,,0,
11036,Quinta da Fonte (Rotunda),Qt. da Fonte (Rot.),Quinta da Fonte-Sul (Rotunda) - Sent. Est. Beira,40.193,-8.398,,,0,
11037,Portela,Portela,E. N. 17 (Portela do Mondego) - Sent. Ponte da Portela,40.1849,-8.3986,,,0,
11038,Escola de Ceira,Escola de Ceira ,C. M. 1151 (Escola B. 2+3 de Ceira - Terminus L. 23),40.184,-8.3934,,,0,
11039,Portela (Rotunda),Portela (Rot.),E. N. 17 - Portela do Mondego (Rotunda) - Sent. Alto S. Joao,40.1853,-8.3972,,,0,
11040,Portela (Norte),Portela (N),E. N. 17 (Portela - Norte) - Sent. Alto S. Joao,40.1858,-8.3995,,,0,
11041,Torres do Mondego (Proximidades),EN110-Km17-5,E. N. 110 - Barca - Sent. Portela,40.189,-8.3925,,,0,
11042,Torres do Mondego (Proximidades),EN110-Km17-5,E. N. 110 - Sent. Torres do Mondego,40.1901,-8.3916,,,0,
11043,Parque de Campismo,Pq. Campismo,Areeiro - Parque de Campismo - Sent. Areeiro,40.1893,-8.3995,,,0,
11044,Areeiro (Escola),Escola Areeiro,Areeiro - Escola - Sent. Areeiro,40.1903,-8.3989,,,0,
11045,Ceira (Centro),Ceira (C),R. de Tomar -Ceira (Centro) - Sent. Conraria,40.1746,-8.3919,,,0,
11046,Ceira (Centro),Ceira (C),Via Central de Ceira - Sent. Coimbra,40.1746,-8.3919,,,0,
11047,Conraria,Conraria,Conraria - Sent. Ceira,40.1737,-8.3946,,,0,
11048,Conraria (Centro),Conraria (C),Conraria (Centro) - Sent. Hospital Sobral Cid,40.1764,-8.3967,,,0,
11049,Hospital de Sobral Cid,S. Cid (H),E. N. 110-2 (H. Sobral Cid - Terminus L. 10/18) - Sent. Lages,40.1752,-8.4028,,,0,
11050,Hospital de Sobral Cid,S. Cid (H),E. N. 110-2 (H. Sobral Cid) - Sent. M. Pereiros,40.1753,-8.403,,,0,
11051,Conraria (Centro),Conraria (C),Conraria (Centro) - Sent. Ceira,40.1762,-8.3967,,,0,
11052,Conraria,Conraria,Conraria - Sent. Hospital S. Cid,40.1742,-8.3949,,,0,
11053,Carvalhosas (Cruzamento),Carvalhosas (X),E. N. 17 (Cruz. p/ Carvalhosas) - Sent. Ceira,40.1794,-8.3918,,,0,
11054,Carvalhosas (Cruzamento),Carvalhosas (X),E. N. 17 (Cruz. p/ Carvalhosas) - Sent. Portela,40.1796,-8.392,,,0,
11055,Ceira (Sul) ,Ceira (S),Ceira (Antes ponte sobre a Linha da CP) - Sent. Conraria,40.1716,-8.3933,,,0,
11056,Ceira (Sul) ,Ceira (S),Ceira (Depois ponte sobre a Linha da CP) - Sent. Portela,40.172,-8.3931,,,0,
11057,Alto da Rocha Nova,Alto R. Nova,C. M. 1145 - Alto da Rocha Nova - Sent. Serra da Rocha,40.2379,-8.391,,,0,
11058,Tovim do Meio 2,Tovim do Meio 2,E. M. 536 (Cruz. Est.dos Malheiros ) - Sent. Vale de Canas,40.212,-8.3897,,,0,
11059,Tovim do Meio 2,Tovim do Meio 2,E. M. 536 (Cruz.Est. dos Malheiros) - Sent. Sao Sebatiao,40.212,-8.3896,,,0,
11060,Tovim de Cima 1,Tovim de Cima 1,E. M. 536 (Tovim de Cima - Paragem 1) - Sent.Vale de Canas,40.2131,-8.3872,,,0,
11061,Tovim de Cima 1,Tovim de Cima 1,E. M. 536 (Tovim de Cima - Paragem 1) - Sent. Sao Sebastiao,40.213,-8.386,,,0,
11062,Tovim de Cima 2,Tovim de Cima 2,E. M. 536 (Tovim de Cima - Paragem 2) - Sent. Vale de Canas,40.2112,-8.3848,,,0,
11063,Tovim de Cima 2,Tovim de Cima 2,E. M. 536 (Tovim de Cima - Paragem 2) - Sent. Sao Sebastiao,40.2109,-8.3849,,,0,
11064,Tovim de Cima 3,Tovim de Cima 3,E. M. 536 (Tovim de Cima) - Sent. Sao Sebastiao,40.2131,-8.3842,,,0,
11065,Tovim de Cima 3,Tovim de Cima 3,E. M. 536 (Tovim de Cima) - Sent. Vale de Canas,40.2129,-8.3845,,,0,
11066,Picoto dos Barbados,Picoto dos Barbados,E. M. 536 (Picoto dos Barbados) - Sent. Vale de Canas,40.2122,-8.3836,,,0,
11067,Picoto dos Barbados,Picoto dos Barbados,E. M. 536 (Picoto dos Barbados) - Sent. Sao Sebastiao,40.2122,-8.3835,,,0,
11068,Daniel Rodrigues,Daniel Rodrigues,Daniel Rodrigues- R. - Sent. Olivais,40.2102,-8.3901,,,0,
11069,Malheiros,Malheiros,Malheiros - Sent. Olivais,40.2077,-8.3902,,,0,
11070,Torres do Mondego (Sul),Torres Mondego (S),E. N. 110 (Torres do Mondego - Sul) - Sent. Casal da Misarela,40.1929,-8.3846,,,0,
11071,Torres do Mondego (Centro),Torres Mondego (C),E. N. 110 (Torres do Mondego - Centro) - Sent. Portela,40.195,-8.381,,,0,
11072,Torres do Mondego (Sul),Torres Mondego (S),E. N. 110 (Torres do Mondego - Sul) - Sent. Portela,40.193,-8.3845,,,0,
11073,Estrada das Carvalhosas,Estr. Carvalhosas,C. M. 1151 Estrada das Carvalhosas (Rotunda) - Sent. Coimbra,40.1806,-8.3922,,,0,
11074,Golpe,Golpe ,C. M. 1146 (Golpe)- Sent. Carapinheira,40.2461,-8.3698,,,0,
11075,Golpe,Golpe ,C. M. 1146 (Golpe)- Sent. Rocha Velha,40.2461,-8.3699,,,0,
11076,Golpe (Norte),Golpe (N),C. M. 1146 (Golpe - Norte) - Sent. Carapinheira ,40.2494,-8.3689,,,0,
11077,Golpe (Norte),Golpe (N),C. M. 1146 (Golpe - Norte) - Sent. Rocha Velha ,40.2495,-8.3691,,,0,
11078,Rocha Velha,Rocha Velha,C. M. 1146 (Rocha Velha - Terminus L. 16G),40.2499,-8.372,,,0,
11079,Cova do Ouro (Cruzamento),Cova do Ouro (X),E. M. 536 (Cova do Ouro - Paragem 2 - Cruz.) - Sent. Carapinheira,40.2284,-8.3749,,,0,
11080,Cova do Ouro (Cruzamento),Cova do Ouro (X),E. M. 536 (Cova do Ouro - Paragem 2 - Cruz.) - Sent. Vale de Canas,40.2283,-8.3744,,,0,
11081,Cova do Ouro 3,Cova do Ouro 3,E. M. 536 (Cova do Ouro - Paragem 3) - Sent. Carapinheira,40.2289,-8.3731,,,0,
11082,Cova do Ouro 3,Cova do Ouro 3,E. M. 536 (Cova do Ouro - Paragem 3) - Sent. Vale de Canas,40.2289,-8.3731,,,0,
11083,Dianteiro 1,Dianteiro 1,E. M. 536 (Dianteiro - Cemiterio - Paragem 1) - Sent.Carapinheira,40.2317,-8.3713,,,0,
